,HomeTeam_Encoded,AwayTeam_Encoded,HomeAvgGoalsScored,HomeAvgGoalsConceded,HomeAvgShotsTarget,AwayAvgGoalsScored,AwayAvgGoalsConceded,AwayAvgShotsTarget,Odds_1xBet_Home,Odds_1xBet_Draw,Odds_1xBet_Away,Result_Encoded
HomeTeam_Encoded,1.0,-0.02628306719694599,-0.04464066926306761,-0.006636704496902438,-0.023305360131223713,0.0021814757136910104,0.010532542395314566,0.01286958929055588,0.008530378633478997,-0.06843859398885091,-0.05808880835455013,-0.019935585081325962
AwayTeam_Encoded,-0.02628306719694599,1.0,-0.019365639641783006,-0.0004917282669439874,0.0005836933199210443,-0.04297689507638512,0.006542813729292795,-0.025061895541245965,-0.053918047615744896,-0.040697818123191704,-0.0004985033245080209,0.00969165225253324
HomeAvgGoalsScored,-0.04464066926306761,-0.019365639641783006,1.0,-0.1925902082887728,0.7008755528912953,0.0380561478832389,0.029321666547619602,0.06503141123710789,-0.25981811026501356,0.4006801214780903,0.43065507715715834,0.1427874727459125
HomeAvgGoalsConceded,-0.006636704496902438,-0.0004917282669439874,-0.1925902082887728,1.0,-0.1874211429626819,0.0245833904967981,0.0536229227360048,0.029886536307741338,0.21989047002761086,-0.14763857255299642,-0.2907327938876176,-0.13657352017255311
HomeAvgShotsTarget,-0.023305360131223713,0.0005836933199210443,0.7008755528912953,-0.1874211429626819,1.0,0.0566691362862232,0.0333690358292576,0.12813918292628465,-0.2708636865176279,0.3936768525274686,0.4272059588292019,0.14962638131087452
AwayAvgGoalsScored,0.0021814757136910104,-0.04297689507638512,0.0380561478832389,0.0245833904967981,0.0566691362862232,1.0,-0.20431720327368214,0.6954671750201049,0.4473318497777744,0.06308946205839183,-0.2827947964357954,-0.17563569830958348
AwayAvgGoalsConceded,0.010532542395314566,0.006542813729292795,0.029321666547619602,0.0536229227360048,0.0333690358292576,-0.20431720327368214,1.0,-0.1910893555572525,-0.2761335863589336,0.08211409958995149,0.2076434754179386,0.11920980763910904
AwayAvgShotsTarget,0.01286958929055588,-0.025061895541245965,0.06503141123710789,0.029886536307741338,0.12813918292628465,0.6954671750201049,-0.1910893555572525,1.0,0.432525836459186,0.053837146021581996,-0.2867412725310054,-0.1898052930544334
Odds_1xBet_Home,0.008530378633478997,-0.053918047615744896,-0.25981811026501356,0.21989047002761086,-0.2708636865176279,0.4473318497777744,-0.2761335863589336,0.432525836459186,1.0,0.07726901324098802,-0.5174804828571988,-0.348650074575193
Odds_1xBet_Draw,-0.06843859398885091,-0.040697818123191704,0.4006801214780903,-0.14763857255299642,0.3936768525274686,0.06308946205839183,0.08211409958995149,0.053837146021581996,0.07726901324098802,1.0,0.7576504925307435,0.14006806523015927
Odds_1xBet_Away,-0.05808880835455013,-0.0004985033245080209,0.43065507715715834,-0.2907327938876176,0.4272059588292019,-0.2827947964357954,0.2076434754179386,-0.2867412725310054,-0.5174804828571988,0.7576504925307435,1.0,0.3300970621389525
Result_Encoded,-0.019935585081325962,0.00969165225253324,0.1427874727459125,-0.13657352017255311,0.14962638131087452,-0.17563569830958348,0.11920980763910904,-0.1898052930544334,-0.348650074575193,0.14006806523015927,0.3300970621389525,1.0
